id,title,organization,institution_code,collection_code,catalog_number,occurrence_id,idigbio_uuid,idigbio_recordset_id,type,vouchered,taxonomy,sex,creator,date_uploaded,date_modified
000S13438,irsnb:m:2299,Institut Royal des Sciences Naturelles del Belgique,irsnb,m,2299,,,,Biological Specimen,Yes,Teilhardina belgica; Teilhardina belgica,,,2018-06-27T14:41:00Z,2021-01-09T14:50:33Z
000S13437,irsnb:m:65,Institut Royal des Sciences Naturelles del Belgique,irsnb,m,65,,,,Biological Specimen,Yes,Teilhardina belgica; Teilhardina belgica,,,2018-06-27T14:36:45Z,2021-01-09T14:50:19Z
000S13436,irsnb:m:64,Institut Royal des Sciences Naturelles del Belgique,irsnb,m,64,,,,Biological Specimen,Yes,Teilhardina belgica; Teilhardina belgica,,,2018-06-27T14:32:23Z,2021-01-09T14:50:06Z
000S13430,usnm:mammals:220324,NMNH Extant Specimen Records,usnm,mammals,220324,http://n2t.net/ark:/65665/30ae92dce-2fb6-44e6-b49a-2553b85c17e5,c3e65ed6-e07c-4c78-a4c8-7aa986d4170e,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,Biological Specimen,Yes,Gorilla gorilla gorilla; Gorilla gorilla gorilla,Male,c. aschemeier,2018-06-26T21:47:14Z,2021-01-09T14:49:18Z
000S13429,usnm:mammals:176225,NMNH Extant Specimen Records,usnm,mammals,176225,http://n2t.net/ark:/65665/33843c48a-6e73-4b4d-87ab-f0d282b51a09,09d03418-25d7-4d2d-9084-80c83444e213,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,Biological Specimen,Yes,Gorilla gorilla gorilla; Gorilla gorilla gorilla,Male,k. haberer,2018-06-26T21:32:40Z,2021-01-09T14:49:15Z
000S13427,usnm:mammals:258234,NMNH Extant Specimen Records,usnm,mammals,258234,http://n2t.net/ark:/65665/31e902994-a985-461f-b56e-706a67dbfb65,2839362f-f152-47a9-8e39-3589e9ac7f9f,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,Biological Specimen,Yes,Nycticebus pygmaeus; Nycticebus pygmaeus,Male,m. poilane,2018-06-26T19:38:42Z,2021-01-09T14:49:14Z
000S13423,usnm:mammals:397351,NMNH Extant Specimen Records,usnm,mammals,397351,http://n2t.net/ark:/65665/3db306794-3c8e-4930-bb20-e514ac62bac6,8117db21-9af6-498e-b604-a52be525ff18,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,Biological Specimen,Yes,Gorilla beringei beringei; Gorilla beringei beringei,Male,j. matternas & d. fossey,2018-06-26T17:03:44Z,2021-01-09T14:49:04Z
000S13421,usnm:mammals:395636,NMNH Extant Specimen Records,usnm,mammals,395636,http://n2t.net/ark:/65665/329838674-4959-48e2-959b-a6c16aa398b4,c5f2a358-1053-4f1c-af8d-35a745ad64df,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,Biological Specimen,Yes,Gorilla beringei beringei; Gorilla beringei beringei,Male,d. fossey,2018-06-26T17:03:40Z,2021-01-09T14:49:01Z
000S13411,usnm:mammals:239883,NMNH Extant Specimen Records,usnm,mammals,239883,http://n2t.net/ark:/65665/31aee89d9-e671-42f4-896d-076ac1b516ac,4b0424bf-14b2-4c75-ae38-ac41bd451428,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,Biological Specimen,Yes,Gorilla beringei beringei; Gorilla beringei beringei,Male,b. burbridge,2018-06-25T20:16:41Z,2021-01-09T14:48:09Z
000S13410,sbu:AS-Hand31,Anatomical Sciences Collection,sbu,,AS-Hand31,,,,Biological Specimen,No,Homo sapiens; Homo sapiens,,,2018-06-25T17:29:22Z,2021-01-09T14:48:03Z
000S13409,sbu:AS-Hand30,Anatomical Sciences Collection,sbu,,AS-Hand30,,,,Biological Specimen,No,Homo sapiens; Homo sapiens,,,2018-06-25T17:22:13Z,2021-01-09T14:48:01Z
000S13408,sbu:AS-Hand27,Anatomical Sciences Collection,sbu,,AS-Hand27,,,,Biological Specimen,No,Homo sapiens; Homo sapiens,,,2018-06-25T17:19:28Z,2021-01-09T14:48:01Z
000S13407,sbu:AS-Hand13,Anatomical Sciences Collection,sbu,,AS-Hand13,,,,Biological Specimen,No,Homo sapiens; Homo sapiens,,,2018-06-25T17:04:46Z,2021-01-09T14:47:53Z
000S13406,sbu:AS-Hand15,Anatomical Sciences Collection,sbu,,AS-Hand15,,,,Biological Specimen,No,Homo sapiens; Homo sapiens,,,2018-06-25T17:04:44Z,2021-01-09T14:47:49Z
000S13405,sbu:AS-Hand11,Anatomical Sciences Collection,sbu,,AS-Hand11,,,,Biological Specimen,No,Homo sapiens; Homo sapiens,,,2018-06-25T16:54:57Z,2021-01-09T14:47:48Z
000S13404,sbu:AS-Hand9,Anatomical Sciences Collection,sbu,,AS-Hand9,,,,Biological Specimen,No,Homo sapiens; Homo sapiens,,,2018-06-25T16:43:37Z,2021-01-09T14:47:42Z
000S13197,sbu:AS-Hand7,Anatomical Sciences Collection,sbu,,AS-Hand7,,,,Biological Specimen,No,Homo sapiens; Homo sapiens,,,2018-06-22T20:46:00Z,2021-01-09T14:36:05Z
000S13194,sbu:AS-Hand3,Anatomical Sciences Collection,sbu,,AS-Hand3,,,,Biological Specimen,No,Homo sapiens; Homo sapiens,,,2018-06-22T18:50:02Z,2021-01-09T14:36:00Z
000S13167,sbu:AS-Hand2,Anatomical Sciences Collection,sbu,,AS-Hand2,,,,Biological Specimen,No,Homo sapiens; Homo sapiens,,,2018-06-22T16:36:00Z,2021-01-09T14:34:32Z
000S13137,usnm:mammals:305107,NMNH Extant Specimen Records,usnm,mammals,305107,http://n2t.net/ark:/65665/36c00e5cd-cb9f-4a18-bcdb-95e9a2695167,1086ddab-7887-4787-a7db-84f3c9b8ba55,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,Biological Specimen,Yes,Theropithecus gelada gelada; Theropithecus gelada gelada,Male,collector unknown,2018-06-22T06:50:11Z,2021-01-09T14:32:45Z
000S13136,usnm:mammals:319992,NMNH Extant Specimen Records,usnm,mammals,319992,http://n2t.net/ark:/65665/3ade99543-6036-4b4f-bc06-a494e16b129f,59624d1f-0792-4295-acac-9e85c0295b8a,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,Biological Specimen,Yes,Theropithecus gelada gelada; Theropithecus gelada gelada,Female,collector unknown,2018-06-22T06:43:55Z,2021-01-09T14:32:42Z
000S13053,usnm:mammals:83965,NMNH Extant Specimen Records,usnm,mammals,83965,http://n2t.net/ark:/65665/32f9a2d75-a719-4c95-869c-751574ccfb17,9fa83a5c-1f03-4947-9a14-e694b6e1dd44,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,Biological Specimen,Yes,Propithecus verreauxi; Propithecus verreauxi,Male,collector unknown,2018-06-20T17:30:17Z,2021-01-09T14:28:06Z
000S13050,usnm:mammals:63348,NMNH Extant Specimen Records,usnm,mammals,63348,http://n2t.net/ark:/65665/3665486b8-e7a4-4513-8ef7-225e820fd6c4,44b1fa3d-99f4-4cdf-9fce-c53789f0e69e,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,Biological Specimen,Yes,Propithecus diadema; Propithecus diadema,Male,w. abbott,2018-06-20T16:20:50Z,2021-01-09T14:27:55Z
000S13020,uw:21448,"Geological Museum, University of Wyoming",uw,,21448,,,,Biological Specimen,Yes,Cantius ralstoni; Cantius ralstoni,,,2018-06-20T03:27:23Z,2021-01-09T14:25:57Z
000S13019,uw:21446,"Geological Museum, University of Wyoming",uw,,21446,,,,Biological Specimen,Yes,Cantius ralstoni; Cantius ralstoni,,,2018-06-20T03:15:09Z,2021-01-09T14:25:51Z
000S12966,amnh:mammals:m-103347,AMNH Mammal Collections,amnh,mammals,m-103347,urn:catalog:AMNH:Mammals:M-103347,75fae413-b849-468d-b034-bbc858d6d079,cb790bee-26da-40ed-94e0-d179618f9bd4,Biological Specimen,Yes,Hylobates klossii; Hylobates klossii,Male,j. j. menden,2018-06-15T21:22:39Z,2021-01-09T14:22:10Z
000S12815,ypm:vz:ypm mam 014402,"Vertebrate Zoology Division - Mammalogy, Yale Peabody Museum",ypm,vz,ypm mam 014402,urn:uuid:206010c9-5b8b-490b-ae2c-3795fcff0a6c,24284a49-72bb-4620-b881-af581b360fa5,76015dea-c909-4e6d-a8e1-3bf35763571e,Biological Specimen,Yes,Arctocebus calabarensis; Arctocebus calabarensis,,charles d. miller,2018-06-11T20:24:10Z,2021-01-09T14:13:29Z
000S12705,uw:21450,"Geological Museum, University of Wyoming",uw,,21450,,,,Biological Specimen,Yes,Cantius ralstoni; Cantius ralstoni,,T. Bown Party,2018-06-11T03:02:01Z,2021-01-09T14:07:57Z
