,X,TAXA,GENUS,SPECIES,LOCOMOTION,LOCOMOTION2,SUBSTRATE,GRP,LOCSUB,,SEX,MATURITY,MASS (KG)
90,Macaca-nemestrina-MCZ-35602-humerus,Macaca nemestrina,Macaca,nemestrina,quadruped,,terrestrial,Old World Monkey,terrestrial quadruped,,Female,,6.350293185
91,Macaca-nemestrina-MCZ-35631-humerus,Macaca nemestrina,Macaca,nemestrina,quadruped,,terrestrial,Old World Monkey,terrestrial quadruped,,Female,,5.66990463
92,Macaca-nemestrina-MCZ-35649-humerus,Macaca nemestrina,Macaca,nemestrina,quadruped,,terrestrial,Old World Monkey,terrestrial quadruped,,Female,,6.803885556
93,Macaca-nemestrina-MCZ-35670-humerus,Macaca nemestrina,Macaca,nemestrina,quadruped,,terrestrial,Old World Monkey,terrestrial quadruped,,Female,,9.979032148
94,Macaca-nemestrina-MCZ-35687-humerus,Macaca nemestrina,Macaca,nemestrina,quadruped,,terrestrial,Old World Monkey,terrestrial quadruped,,Female,,5.443108445
95,Mandrillus-sphinx-AMNH-170364-humerus,Mandrillus sphinx,Mandrillus,sphinx,quadruped,,terrestrial,Old World Monkey,terrestrial quadruped,,Male,,31.6
96,Mandrillus-sphinx-AMNH-170366-humerus,Mandrillus sphinx,Mandrillus,sphinx,quadruped,,terrestrial,Old World Monkey,terrestrial quadruped,,Male,,31.6
97,Mandrillus-sphinx-AMNH-87227-humerus,Mandrillus sphinx,Mandrillus,sphinx,quadruped,,terrestrial,Old World Monkey,terrestrial quadruped,,,immature,12.9
98,Mandrillus-sphinx-AMNH-89357-humerus,Mandrillus sphinx,Mandrillus,sphinx,quadruped,,terrestrial,Old World Monkey,terrestrial quadruped,,Female,,12.9
99,Mandrillus-sphinx-AMNH-89361-humerus,Mandrillus sphinx,Mandrillus,sphinx,quadruped,,terrestrial,Old World Monkey,terrestrial quadruped,,Female,,12.9
100,Mandrillus-sphinx-AMNH-89364-humerus,Mandrillus sphinx,Mandrillus,sphinx,quadruped,,terrestrial,Old World Monkey,terrestrial quadruped,,Male,,31.6
101,Pan-paniscus-MCZ-38018-humerus,Pan paniscus,Pan,paniscus,quadruped,,arboreal,Hominoid,arboreal quadruped,,Male,,45
