,TAXA,GENUS,SPECIES,LOCOMOTION,LOCOMOTION2,SUBSTRATE,GRP
Macaca-mulatta-UCD-38252-humerus,Macaca mulatta,Macaca,mulatta,quadruped,,terrestrial,Old World Monkey
Macaca-mulatta-UCD-38328-humerus,Macaca mulatta,Macaca,mulatta,quadruped,,terrestrial,Old World Monkey
Macaca-mulatta-UCD-38341-humerus,Macaca mulatta,Macaca,mulatta,quadruped,,terrestrial,Old World Monkey
Macaca-mulatta-UCD-38465-humerus,Macaca mulatta,Macaca,mulatta,quadruped,,terrestrial,Old World Monkey
Macaca-mulatta-UCD-39026-humerus,Macaca mulatta,Macaca,mulatta,quadruped,,terrestrial,Old World Monkey
Macaca-mulatta-UCD-39242-humerus,Macaca mulatta,Macaca,mulatta,quadruped,,terrestrial,Old World Monkey
Macaca-mulatta-UCD-39650-humerus,Macaca mulatta,Macaca,mulatta,quadruped,,terrestrial,Old World Monkey
Macaca-mulatta-UCD-39882-humerus,Macaca mulatta,Macaca,mulatta,quadruped,,terrestrial,Old World Monkey
Macaca-nemestrina-MCZ-35602-humerus,Macaca nemestrina,Macaca,nemestrina,quadruped,,terrestrial,Old World Monkey
Macaca-nemestrina-MCZ-35631-humerus,Macaca nemestrina,Macaca,nemestrina,quadruped,,terrestrial,Old World Monkey
Macaca-nemestrina-MCZ-35649-humerus,Macaca nemestrina,Macaca,nemestrina,quadruped,,terrestrial,Old World Monkey
Macaca-nemestrina-MCZ-35670-humerus,Macaca nemestrina,Macaca,nemestrina,quadruped,,terrestrial,Old World Monkey
Macaca-nemestrina-MCZ-35687-humerus,Macaca nemestrina,Macaca,nemestrina,quadruped,,terrestrial,Old World Monkey
Mandrillus-sphinx-AMNH-170364-humerus,Mandrillus sphinx,Mandrillus,sphinx,quadruped,,terrestrial,Old World Monkey
Mandrillus-sphinx-AMNH-170366-humerus,Mandrillus sphinx,Mandrillus,sphinx,quadruped,,terrestrial,Old World Monkey
Mandrillus-sphinx-AMNH-87227-humerus,Mandrillus sphinx,Mandrillus,sphinx,quadruped,,terrestrial,Old World Monkey
Mandrillus-sphinx-AMNH-89357-humerus,Mandrillus sphinx,Mandrillus,sphinx,quadruped,,terrestrial,Old World Monkey
Mandrillus-sphinx-AMNH-89361-humerus,Mandrillus sphinx,Mandrillus,sphinx,quadruped,,terrestrial,Old World Monkey
Mandrillus-sphinx-AMNH-89364-humerus,Mandrillus sphinx,Mandrillus,sphinx,quadruped,,terrestrial,Old World Monkey
Pan-paniscus-MCZ-38018-humerus,Pan paniscus,Pan,paniscus,quadruped,,arboreal,Hominoid
Pan-paniscus-MCZ-38019-humerus,Pan paniscus,Pan,paniscus,quadruped,,arboreal,Hominoid
Pan-paniscus-MCZ-38020-humerus,Pan paniscus,Pan,paniscus,quadruped,,arboreal,Hominoid
Pan-pansicus-AMNH-86857-humerus,Pan paniscus,Pan,paniscus,quadruped,,arboreal,Hominoid
Pan-troglodytes-PRICT-1516-humerus,Pan troglodytes,Pan,troglodytes,quadruped,,terrestrial,Hominoid
Pan-troglodytes-PRICT-1522-humerus,Pan troglodytes,Pan,troglodytes,quadruped,,terrestrial,Hominoid
Pan-troglodytes-PRICT-2803-humerus,Pan troglodytes,Pan,troglodytes,quadruped,,terrestrial,Hominoid
Pan-troglodytes-PRICT-2830-humerus,Pan troglodytes,Pan,troglodytes,quadruped,,terrestrial,Hominoid
Pan-troglodytes-PRICT-2838-humerus,Pan troglodytes,Pan,troglodytes,quadruped,,terrestrial,Hominoid
Pan-troglodytes-PRICT-2857-humerus,Pan troglodytes,Pan,troglodytes,quadruped,,terrestrial,Hominoid
Pan-troglodytes-PRICT-454-humerus,Pan troglodytes,Pan,troglodytes,quadruped,,terrestrial,Hominoid
Pan-troglodytes-PRICT-586-humerus,Pan troglodytes,Pan,troglodytes,quadruped,,terrestrial,Hominoid
Pan-troglodytes-YPM-015939-humerus,Pan troglodytes,Pan,troglodytes,quadruped,,terrestrial,Hominoid
Papio-anubis-AMNH-120388-humerus,Papio anubis,Papio,anubis,quadruped,,terrestrial,Old World Monkey
Papio-anubis-AMNH-51380-humerus,Papio anubis,Papio,anubis,quadruped,,terrestrial,Old World Monkey
Papio-anubis-AMNH-52668-humerus,Papio anubis,Papio,anubis,quadruped,,terrestrial,Old World Monkey
Papio-anubis-AMNH-82092-humerus,Papio anubis,Papio,anubis,quadruped,,terrestrial,Old World Monkey
Papio-anubis-AMNH-82097-humerus,Papio anubis,Papio,anubis,quadruped,,terrestrial,Old World Monkey
Papio-doguera-MCZ-10748-humerus,Papio doguera,Papio,doguera,quadruped,,terrestrial,Old World Monkey
Papio-doguera-MCZ-8304-humerus,Papio doguera,Papio,doguera,quadruped,,terrestrial,Old World Monkey
Papio-hamadryas-MCZ-5008-humerus,Papio hamadryas,Papio,hamadryas,quadruped,,terrestrial,Old World Monkey
Papio-hamadryas-MCZ-6015-humerus,Papio hamadryas,Papio,hamadryas,quadruped,,terrestrial,Old World Monkey
Papio-hamadryas-MCZ-6077-humerus,Papio hamadryas,Papio,hamadryas,quadruped,,terrestrial,Old World Monkey
Papio-hamadryas-MCZ-BOM-169-humerus,Papio hamadryas,Papio,hamadryas,quadruped,,terrestrial,Old World Monkey
Pithecia-pithecia-USNM-300794-humerus,Pithecia pithecia,Pithecia,pithecia,quadruped,,arboreal,New World Monkey
Pongo-pygmaeus-AMNH-140426-humerus,Pongo pygmaeus,Pongo,pygmaeus,suspension,,arboreal,Hominoid
Pongo-pygmaeus-AMNH-200898-humerus,Pongo pygmaeus,Pongo,pygmaeus,suspension,,arboreal,Hominoid
Pongo-pygmaeus-AMNH-28252-humerus,Pongo pygmaeus,Pongo,pygmaeus,suspension,,arboreal,Hominoid
Pongo-pygmaeus-AMNH-28253-humerus,Pongo pygmaeus,Pongo,pygmaeus,suspension,,arboreal,Hominoid
Pongo-pygmaeus-AMNH-61586-humerus,Pongo pygmaeus,Pongo,pygmaeus,suspension,,arboreal,Hominoid
Pongo-pygmaeus-PRICT-1284-humerus,Pongo pygmaeus,Pongo,pygmaeus,suspension,,arboreal,Hominoid
Pongo-pygmaeus-PRICT-1342-humerus,Pongo pygmaeus,Pongo,pygmaeus,suspension,,arboreal,Hominoid
Pongo-pygmaeus-PRICT-2747-humerus,Pongo pygmaeus,Pongo,pygmaeus,suspension,,arboreal,Hominoid
Pongo-pygmaeus-PRICT-514-humerus,Pongo pygmaeus,Pongo,pygmaeus,suspension,,arboreal,Hominoid
Presbytis-melalophos-AMNH-106599-humerus,Presbytis melalophos,Presbytis,melalophos,quadruped,,arboreal,Old World Monkey
Presbytis-melalophos-AMNH-106600-humerus,Presbytis melalophos,Presbytis,melalophos,quadruped,,arboreal,Old World Monkey
Presbytis-melalophos-AMNH-106606-humerus,Presbytis melalophos,Presbytis,melalophos,quadruped,,arboreal,Old World Monkey
Saguinus-oedipus-AMNH-200467-humerus,Saguinus oedipus,Saguinus,oedipus,vertical cling,,arboreal,New World Monkey
Saguinus-oedipus-USNM-501080-humerus,Saguinus oedipus,Saguinus,oedipus,vertical cling,,arboreal,New World Monkey
Saguinus-oedipus-USNM-501082-humerus,Saguinus oedipus,Saguinus,oedipus,vertical cling,,arboreal,New World Monkey
Saimiri-sciureus-AMNH-188089-humerus,Saimiri sciureus,Saimiri,sciureus,quadruped,leaper,arboreal,Old World Monkey
